"110年10月 2340 光磊             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","6,519,013","205,023,937","31.85","32.20","30.95","31.00","-1.45","3,494",
"110/10/04","6,252,070","194,344,812","31.50","31.90","30.55","30.60","-0.40","3,002",
"110/10/05","5,279,344","161,473,311","30.20","31.30","29.50","31.20","+0.60","2,606",
"110/10/06","4,136,296","128,927,170","31.45","31.65","30.70","30.85","-0.35","1,961",
"110/10/07","4,042,616","127,847,937","31.40","32.00","31.20","31.75","+0.90","2,020",
"110/10/08","3,137,306","99,012,627","31.95","32.15","31.20","31.40","-0.35","1,707",
"110/10/12","4,455,279","137,008,916","31.00","31.50","30.35","30.50","-0.90","2,163",
"110/10/13","5,140,145","154,371,693","30.60","31.30","29.60","29.75","-0.75","2,585",
"110/10/14","5,619,066","168,509,712","30.00","30.65","29.30","30.65","+0.90","2,921",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
