"110年10月 2393 億光             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,069,751","97,115,121","47.05","47.60","46.50","46.55","-1.15","1,478",
"110/10/04","2,465,417","113,801,713","46.95","47.55","45.35","45.65","-0.90","1,597",
"110/10/05","2,896,243","131,614,961","44.95","46.30","44.20","46.30","+0.65","1,845",
"110/10/06","1,815,427","84,354,939","46.30","47.15","45.70","46.00","-0.30","1,314",
"110/10/07","1,050,608","49,306,407","46.65","47.15","46.20","46.90","+0.90","833",
"110/10/08","1,624,116","75,419,827","47.30","47.40","45.90","46.05","-0.85","1,132",
"110/10/12","2,611,684","117,412,992","45.50","45.85","44.60","45.05","-1.00","1,899",
"110/10/13","2,277,543","101,804,340","45.65","45.65","44.30","44.65","-0.40","1,207",
"110/10/14","892,965","40,251,927","45.10","45.40","44.60","45.15","+0.50","659",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
