"110年10月 2429 銘旺科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","26,035","398,426","15.40","15.45","15.20","15.45"," 0.00","18",
"110/10/04","25,000","389,400","15.30","15.75","15.25","15.75","+0.30","22",
"110/10/05","51,328","805,719","15.35","15.80","15.30","15.80","+0.05","48",
"110/10/06","62,030","984,030","15.80","16.00","15.80","15.80"," 0.00","43",
"110/10/07","124,000","2,000,850","16.00","16.30","15.90","16.20","+0.40","48",
"110/10/08","111,068","1,807,955","16.30","16.50","16.05","16.30","+0.10","60",
"110/10/12","68,481","1,153,832","16.30","17.30","16.25","17.30","+1.00","56",
"110/10/13","212,242","3,780,989","17.70","18.10","17.30","17.80","+0.50","136",
"110/10/14","121,878","2,174,497","18.10","18.30","17.50","17.70","-0.10","87",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
