"110年10月 2489 瑞軒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,362,484","74,225,371","17.20","17.30","16.85","16.90","-0.50","1,763",
"110/10/04","3,795,983","63,565,597","17.00","17.15","16.60","16.65","-0.25","1,229",
"110/10/05","2,575,037","42,959,538","16.45","16.95","16.35","16.85","+0.20","962",
"110/10/06","1,805,851","30,337,482","17.00","17.00","16.65","16.75","-0.10","776",
"110/10/07","9,342,772","163,905,902","17.20","17.80","17.05","17.75","+1.00","3,511",
"110/10/08","7,260,757","129,531,804","17.65","18.00","17.60","17.90","+0.15","2,723",
"110/10/12","7,228,167","129,210,992","18.00","18.10","17.55","17.70","-0.20","3,212",
"110/10/13","2,700,934","47,596,856","17.95","17.95","17.40","17.55","-0.15","1,532",
"110/10/14","2,909,749","50,939,969","17.70","17.75","17.35","17.55"," 0.00","1,348",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
