"110年10月 3031 佰鴻             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,840,111","39,939,772","21.90","22.20","21.35","21.50","-0.45","1,061",
"110/10/04","2,060,304","43,635,259","21.75","21.95","20.65","20.90","-0.60","1,283",
"110/10/05","1,835,771","38,851,686","20.65","21.80","20.05","21.60","+0.70","1,010",
"110/10/06","928,826","19,751,838","21.80","21.85","20.80","20.85","-0.75","620",
"110/10/07","1,492,776","32,641,401","21.20","22.20","21.20","21.95","+1.10","870",
"110/10/08","999,552","22,010,316","21.90","22.45","21.80","22.00","+0.05","490",
"110/10/12","639,072","13,701,945","21.80","21.85","21.20","21.20","-0.80","347",
"110/10/13","621,496","12,910,985","21.30","21.50","20.50","20.60","-0.60","405",
"110/10/14","791,639","16,412,311","21.30","21.30","20.20","20.80","+0.20","475",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
