"110年10月 3059 華晶科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,702,996","90,461,247","34.50","34.50","32.80","32.80","-2.00","1,857",
"110/10/04","2,186,996","70,735,288","33.20","33.35","31.55","31.55","-1.25","1,240",
"110/10/05","1,460,070","46,142,922","31.10","32.40","30.40","32.30","+0.75","1,082",
"110/10/06","1,683,508","53,421,188","32.30","32.45","31.15","31.15","-1.15","1,034",
"110/10/07","1,215,047","39,212,971","31.40","32.55","31.40","32.50","+1.35","824",
"110/10/08","1,243,023","40,895,339","32.80","33.35","32.50","32.70","+0.20","769",
"110/10/12","1,468,736","46,890,848","32.05","32.50","31.65","31.75","-0.95","864",
"110/10/13","2,364,923","75,085,962","32.10","32.40","31.00","31.65","-0.10","1,105",
"110/10/14","2,025,325","64,383,950","32.05","32.25","31.10","31.90","+0.25","935",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
