"110年10月 3437 榮創             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","972,906","22,709,530","24.00","24.05","23.00","23.10","-1.05","573",
"110/10/04","1,107,320","24,625,674","23.15","23.50","21.60","21.60","-1.50","710",
"110/10/05","1,022,528","22,231,783","21.20","22.50","20.50","22.40","+0.80","570",
"110/10/06","545,611","11,978,993","22.15","22.60","21.60","21.75","-0.65","393",
"110/10/07","876,582","20,011,935","22.00","23.20","22.00","23.05","+1.30","517",
"110/10/08","364,303","8,408,678","23.05","23.35","22.80","23.00","-0.05","277",
"110/10/12","401,458","9,039,778","22.80","23.30","22.15","22.60","-0.40","301",
"110/10/13","405,309","8,937,092","22.75","22.90","21.80","21.85","-0.75","300",
"110/10/14","406,788","9,020,371","22.05","22.50","21.70","22.25","+0.40","307",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
