"110年10月 3563 牧德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","490,887","108,300,713","229.00","229.00","217.50","219.50","-9.50","528",
"110/10/04","138,213","30,287,139","222.00","223.00","217.00","218.00","-1.50","198",
"110/10/05","117,136","25,507,670","216.00","222.50","211.00","222.50","+4.50","161",
"110/10/06","114,858","25,552,675","225.00","225.50","220.00","222.50"," 0.00","154",
"110/10/07","135,856","30,925,283","226.50","229.50","224.00","228.50","+6.00","252",
"110/10/08","42,823","9,760,402","230.00","230.00","226.50","227.50","-1.00","154",
"110/10/12","79,202","17,778,479","226.00","226.00","222.50","224.00","-3.50","101",
"110/10/13","127,235","27,891,412","224.00","224.00","215.50","219.50","-4.50","158",
"110/10/14","122,873","26,818,519","222.50","222.50","216.00","218.50","-1.00","150",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
