"110年10月 4935 茂林-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","364,766","27,656,137","75.00","76.30","75.00","75.20","-0.60","249",
"110/10/04","333,023","24,891,401","74.50","75.90","74.00","74.00","-1.20","263",
"110/10/05","649,064","47,310,251","73.00","73.90","72.00","72.90","-1.10","415",
"110/10/06","426,598","31,968,746","73.30","75.90","73.30","74.30","+1.40","484",
"110/10/07","198,905","15,172,880","76.00","77.20","75.30","76.70","+2.40","213",
"110/10/08","161,370","12,378,388","77.20","77.20","76.30","76.70"," 0.00","124",
"110/10/12","279,215","21,619,556","76.70","78.20","75.60","77.30","+0.60","235",
"110/10/13","481,817","37,881,612","78.00","79.20","77.90","78.60","+1.30","691",
"110/10/14","227,622","17,693,574","78.10","79.00","77.10","77.10","-1.50","299",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
