"110年10月 4960 誠美材           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","5,484,755","60,749,891","11.25","11.30","10.90","11.00","-0.30","1,866",
"110/10/04","7,673,468","82,178,665","11.05","11.10","10.45","10.50","-0.50","2,169",
"110/10/05","6,946,078","71,843,540","10.05","10.80","10.00","10.70","+0.20","1,779",
"110/10/06","3,952,715","41,596,802","10.60","10.65","10.40","10.55","-0.15","982",
"110/10/07","5,039,832","54,471,172","10.60","10.95","10.60","10.90","+0.35","1,174",
"110/10/08","4,658,877","51,501,770","11.00","11.20","10.90","11.00","+0.10","1,198",
"110/10/12","4,394,869","49,012,412","11.00","11.25","11.00","11.20","+0.20","1,198",
"110/10/13","5,044,498","56,320,346","11.25","11.30","11.00","11.10","-0.10","960",
"110/10/14","2,223,036","24,733,338","11.15","11.25","11.00","11.10"," 0.00","753",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
