"110年10月 4976 佳凌             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,966,145","118,158,807","61.40","61.50","59.20","59.70","-2.40","1,639",
"110/10/04","1,632,681","96,650,112","59.70","60.70","58.30","58.30","-1.40","1,144",
"110/10/05","1,918,190","111,046,140","57.00","59.50","56.00","59.30","+1.00","1,368",
"110/10/06","1,453,265","84,365,634","59.30","59.80","57.50","57.60","-1.70","1,109",
"110/10/07","1,839,349","110,117,883","58.10","60.80","58.10","60.10","+2.50","1,388",
"110/10/08","1,657,151","100,374,362","60.50","61.60","59.50","60.00","-0.10","1,176",
"110/10/12","1,389,386","82,237,766","60.10","60.80","58.00","58.00","-2.00","1,102",
"110/10/13","1,312,248","75,497,220","58.20","58.90","56.60","58.30","+0.30","997",
"110/10/14","932,599","54,081,944","58.70","59.10","57.20","58.70","+0.40","823",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
