"110年10月 5234 達興材料         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","177,847","15,659,185","89.00","89.40","87.50","87.80","-1.20","142",
"110/10/04","91,000","7,943,100","87.50","88.80","86.40","87.70","-0.10","72",
"110/10/05","37,000","3,261,300","88.20","88.80","87.50","88.00","+0.30","31",
"110/10/06","37,030","3,262,340","88.00","88.20","88.00","88.00"," 0.00","31",
"110/10/07","23,050","2,043,925","88.50","88.90","88.10","88.10","+0.10","23",
"110/10/08","59,020","5,188,970","88.10","88.20","87.50","87.60","-0.50","48",
"110/10/12","61,060","5,311,753","87.50","87.50","86.70","87.20","-0.40","57",
"110/10/13","145,713","12,538,539","87.20","87.20","85.60","85.60","-1.60","133",
"110/10/14","60,380","5,183,430","87.60","87.60","85.50","86.20","+0.60","52",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
