"110年10月 6164 華興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,618,834","36,283,960","14.30","14.55","13.35","13.70","-0.85","1,148",
"110/10/04","1,874,534","25,393,907","14.00","14.10","13.00","13.15","-0.55","765",
"110/10/05","2,753,525","37,881,345","13.45","14.35","12.60","14.25","+1.10","1,337",
"110/10/06","2,122,048","30,150,377","14.70","14.70","13.70","13.85","-0.40","1,140",
"110/10/07","1,484,531","21,205,536","14.15","14.50","14.00","14.25","+0.40","726",
"110/10/08","705,480","10,040,065","14.35","14.50","14.00","14.05","-0.20","410",
"110/10/12","793,230","11,037,087","14.10","14.25","13.70","13.75","-0.30","393",
"110/10/13","926,946","12,694,979","13.85","14.10","13.35","13.45","-0.30","532",
"110/10/14","1,070,622","14,677,927","13.75","13.90","13.45","13.60","+0.15","465",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
