"110年10月 6706 惠特             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,045,672","174,283,809","172.00","172.00","164.00","165.50","-8.00","982",
"110/10/04","1,132,884","188,110,628","168.00","169.50","162.50","163.50","-2.00","1,479",
"110/10/05","915,072","148,200,290","160.00","165.50","157.00","165.50","+2.00","990",
"110/10/06","1,134,759","183,429,163","165.50","166.50","159.50","160.00","-5.50","909",
"110/10/07","891,893","148,480,838","162.00","168.50","162.00","168.00","+8.00","807",
"110/10/08","2,369,968","416,690,788","168.50","181.00","168.00","177.00","+9.00","1,903",
"110/10/12","1,810,342","326,527,034","177.00","183.00","177.00","180.50","+3.50","1,677",
"110/10/13","802,974","142,914,558","179.00","180.50","176.00","179.50","-1.00","1,353",
"110/10/14","897,831","156,537,031","179.00","181.00","171.50","171.50","-8.00","2,749",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
