"110年10月 8105 凌巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,459,018","16,979,580","11.95","12.00","11.50","11.50","-0.50","668",
"110/10/04","1,826,228","20,582,669","11.65","11.70","11.00","11.00","-0.50","695",
"110/10/05","1,148,977","12,597,154","10.90","11.25","10.60","11.15","+0.15","468",
"110/10/06","1,283,302","14,109,059","11.25","11.25","10.80","10.80","-0.35","542",
"110/10/07","970,207","10,912,867","10.95","11.40","10.95","11.35","+0.55","414",
"110/10/08","676,879","7,754,287","11.35","11.55","11.35","11.40","+0.05","341",
"110/10/12","318,168","3,587,048","11.40","11.40","11.20","11.20","-0.20","158",
"110/10/13","932,028","10,217,462","11.35","11.35","10.80","10.85","-0.35","454",
"110/10/14","485,565","5,294,565","10.95","11.00","10.80","10.90","+0.05","225",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
