"110年10月 1437 勤益控           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","107,700","2,652,940","24.75","24.85","24.50","24.50","-0.40","60",
"110/10/04","86,309","2,120,329","24.65","24.70","24.45","24.70","+0.20","52",
"110/10/05","57,548","1,418,028","24.60","24.70","24.60","24.70"," 0.00","32",
"110/10/06","70,452","1,746,634","24.80","24.85","24.70","24.70"," 0.00","34",
"110/10/07","56,777","1,411,850","24.80","24.90","24.80","24.85","+0.15","42",
"110/10/08","59,001","1,465,174","24.90","24.90","24.80","24.80","-0.05","30",
"110/10/12","238,046","5,900,550","24.80","25.05","24.60","24.70","-0.10","103",
"110/10/13","114,222","2,833,291","24.80","24.90","24.80","24.80","+0.10","34",
"110/10/14","148,306","3,680,033","24.80","24.90","24.80","24.80"," 0.00","37",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
