"110年10月 2904 匯僑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","122,712","3,281,175","26.85","26.85","26.70","26.70","-0.15","85",
"110/10/04","78,373","2,090,429","26.65","26.75","26.65","26.65","-0.05","52",
"110/10/05","42,034","1,119,854","26.65","26.70","26.55","26.70","+0.05","37",
"110/10/06","36,500","974,248","26.70","26.75","26.65","26.70"," 0.00","36",
"110/10/07","51,401","1,374,562","26.70","26.80","26.70","26.75","+0.05","49",
"110/10/08","51,513","1,377,791","26.75","26.80","26.65","26.70","-0.05","42",
"110/10/12","67,630","1,804,396","26.60","26.80","26.60","26.80","+0.10","62",
"110/10/13","33,288","887,776","26.65","26.85","26.60","26.80"," 0.00","32",
"110/10/14","60,097","1,600,157","26.65","26.65","26.60","26.65","-0.15","41",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
