"110年10月 6504 南六             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","235,231","24,944,177","108.50","109.00","104.00","104.50","-4.50","318",
"110/10/04","463,753","46,873,751","105.50","106.00","99.60","99.80","-4.70","456",
"110/10/05","522,099","52,419,269","99.00","103.00","96.80","101.50","+1.70","445",
"110/10/06","257,723","26,615,098","102.00","104.50","102.00","103.00","+1.50","370",
"110/10/07","161,756","16,730,228","104.00","104.00","102.50","103.50","+0.50","268",
"110/10/08","145,663","15,039,871","104.50","104.50","102.00","103.50"," 0.00","153",
"110/10/12","304,682","32,148,698","103.50","108.50","102.00","107.50","+4.00","514",
"110/10/13","381,812","42,105,241","107.50","112.00","107.00","112.00","+4.50","440",
"110/10/14","340,752","38,961,053","111.00","116.00","111.00","115.50","+3.50","450",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
