"110年10月 6592 和潤企業         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","787,850","67,858,314","87.10","87.20","85.60","85.70","-1.40","669",
"110/10/04","572,034","49,125,199","85.80","86.70","85.50","85.70"," 0.00","415",
"110/10/05","338,114","28,934,692","85.60","86.20","85.00","85.90","+0.20","299",
"110/10/06","342,807","29,634,702","86.70","87.10","86.00","86.40","+0.50","336",
"110/10/07","397,464","34,654,811","87.00","87.50","86.80","87.40","+1.00","319",
"110/10/08","231,781","20,232,614","87.60","87.70","87.00","87.20","-0.20","251",
"110/10/12","451,321","39,276,932","88.00","88.00","86.40","86.80","-0.40","327",
"110/10/13","413,546","36,086,431","87.50","87.50","86.90","87.50","+0.70","325",
"110/10/14","232,247","20,359,787","87.50","87.90","87.40","87.80","+0.30","241",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
