"110年10月 8404 百和興業-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","382,590","13,847,070","36.70","36.85","36.00","36.25","-0.85","264",
"110/10/04","392,869","13,832,188","36.30","36.35","34.60","34.90","-1.35","227",
"110/10/05","523,176","17,731,937","34.95","34.95","33.05","34.15","-0.75","359",
"110/10/06","370,019","12,517,193","34.25","34.80","33.50","33.50","-0.65","245",
"110/10/07","238,607","8,154,444","33.50","34.80","33.50","34.05","+0.55","214",
"110/10/08","177,922","6,061,154","34.60","34.60","33.55","33.80","-0.25","199",
"110/10/12","278,132","9,341,022","33.40","33.95","33.30","33.45","-0.35","165",
"110/10/13","105,299","3,538,646","35.00","35.15","33.15","33.55","+0.10","82",
"110/10/14","226,522","7,583,402","33.35","33.95","33.35","33.55"," 0.00","140",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
