"110年10月 8411 福貞-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","142,473","2,058,139","14.30","14.65","14.30","14.65","-0.05","121",
"110/10/04","53,829","779,820","14.45","14.60","14.35","14.55","-0.10","81",
"110/10/05","34,731","505,516","14.45","14.65","14.45","14.60","+0.05","34",
"110/10/06","46,112","675,651","14.55","14.65","14.50","14.65","+0.05","56",
"110/10/07","84,005","1,234,132","14.60","14.85","14.60","14.75","+0.10","56",
"110/10/08","117,411","1,733,369","14.70","14.85","14.70","14.80","+0.05","97",
"110/10/12","93,028","1,365,343","14.75","14.85","14.55","14.80"," 0.00","86",
"110/10/13","59,343","872,767","14.60","14.80","14.60","14.80"," 0.00","52",
"110/10/14","40,736","603,517","14.75","15.00","14.70","14.85","+0.05","44",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
