"110年10月 8422 可寧衛           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","618,841","113,782,227","186.00","187.00","182.00","182.00","-5.50","1,032",
"110/10/04","540,663","100,917,049","183.50","188.50","183.50","187.50","+5.50","2,007",
"110/10/05","772,647","146,463,279","186.50","191.00","183.50","189.00","+1.50","1,853",
"110/10/06","3,009,744","592,673,881","192.00","201.00","192.00","195.00","+6.00","4,912",
"110/10/07","3,048,001","614,686,862","198.00","206.00","193.50","205.00","+10.00","3,850",
"110/10/08","1,859,653","377,846,719","204.00","209.00","199.50","204.50","-0.50","2,490",
"110/10/12","1,113,069","226,736,623","203.00","207.00","201.00","204.50"," 0.00","2,427",
"110/10/13","2,092,785","441,502,188","205.00","215.50","205.00","211.50","+7.00","4,513",
"110/10/14","1,851,206","395,149,306","210.00","217.00","208.00","213.00","+1.50","2,344",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
