"110年10月 8467 波力-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","12,000","481,100","39.95","40.95","39.95","40.00","-1.00","12",
"110/10/04","49,000","2,087,650","40.90","43.90","40.90","42.40","+2.40","47",
"110/10/05","6,000","248,800","41.30","42.30","41.30","41.30","-1.10","6",
"110/10/06","10,000","411,200","41.40","41.40","41.00","41.00","-0.30","7",
"110/10/07","47,000","1,960,150","43.80","43.80","40.50","40.50","-0.50","46",
"110/10/08","13,000","522,350","40.00","41.40","39.70","41.40","+0.90","13",
"110/10/12","2,001","81,595","40.85","40.85","40.70","40.70","-0.70","3",
"110/10/13","5,000","198,350","39.45","40.00","39.40","39.40","-1.30","5",
"110/10/14","5,000","197,350","39.00","40.10","39.00","40.10","+0.70","5",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
