"110年10月 2359 所羅門           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","258,354","4,427,187","17.25","17.25","17.00","17.05","-0.25","119",
"110/10/04","411,013","6,975,525","17.15","17.20","16.80","16.90","-0.15","149",
"110/10/05","278,712","4,717,882","16.90","17.15","16.75","16.95","+0.05","133",
"110/10/06","179,217","3,031,771","17.00","17.10","16.85","16.95"," 0.00","85",
"110/10/07","149,807","2,551,469","16.90","17.10","16.90","17.10","+0.15","88",
"110/10/08","114,661","1,953,205","17.15","17.15","17.00","17.00","-0.10","60",
"110/10/12","1,576,293","27,267,617","17.05","17.60","17.05","17.15","+0.15","308",
"110/10/13","165,200","2,836,980","17.40","17.40","17.10","17.10","-0.05","104",
"110/10/14","85,020","1,462,591","17.30","17.30","17.10","17.20","+0.10","56",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
