"110年10月 2495 普安             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","960,160","13,548,215","14.60","14.60","13.85","13.90","-0.80","487",
"110/10/04","865,899","11,727,199","14.20","14.20","13.30","13.30","-0.60","433",
"110/10/05","484,110","6,478,689","13.20","13.70","12.95","13.60","+0.30","278",
"110/10/06","311,296","4,220,502","13.70","13.85","13.40","13.40","-0.20","186",
"110/10/07","621,710","8,651,484","13.50","14.15","13.50","14.00","+0.60","291",
"110/10/08","206,245","2,906,111","14.00","14.25","13.90","14.05","+0.05","118",
"110/10/12","240,938","3,324,625","13.75","14.10","13.70","13.75","-0.30","174",
"110/10/13","194,662","2,649,380","13.90","13.95","13.45","13.45","-0.30","144",
"110/10/14","371,718","5,025,006","13.65","13.65","13.40","13.55","+0.10","176",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
