"110年10月 3030 德律             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","212,745","11,816,092","55.80","55.80","55.40","55.40","-0.40","200",
"110/10/04","426,546","23,462,421","55.40","55.50","54.60","54.80","-0.60","323",
"110/10/05","202,156","11,085,177","54.80","55.40","54.40","54.90","+0.10","163",
"110/10/06","190,472","10,468,827","55.00","55.20","54.80","54.90"," 0.00","157",
"110/10/07","208,910","11,600,551","55.30","56.00","55.10","55.60","+0.70","187",
"110/10/08","204,693","11,371,211","55.70","55.80","55.20","55.70","+0.10","180",
"110/10/12","321,902","17,682,362","55.50","55.50","54.70","55.00","-0.70","251",
"110/10/13","227,205","12,423,346","55.00","55.10","54.50","54.50","-0.50","221",
"110/10/14","277,291","15,119,823","54.50","54.80","54.30","54.50"," 0.00","202",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
