"110年10月 3305 昇貿             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,038,097","208,885,144","52.00","53.10","50.60","50.80","-2.40","2,573",
"110/10/04","6,483,159","337,086,339","51.40","53.80","50.80","50.90","+0.10","3,782",
"110/10/05","5,845,900","305,997,498","50.50","54.00","49.40","53.80","+2.90","3,049",
"110/10/06","4,601,058","245,366,740","54.00","54.50","52.30","52.90","-0.90","2,862",
"110/10/07","15,913,687","886,637,437","54.70","57.20","53.90","55.50","+2.60","8,665",
"110/10/08","7,347,831","407,547,912","55.90","56.90","54.20","55.50"," 0.00","4,724",
"110/10/12","4,955,414","276,253,431","54.90","56.80","54.40","55.60","+0.10","2,975",
"110/10/13","5,649,756","308,421,529","55.90","56.70","52.60","53.40","-2.20","3,684",
"110/10/14","3,862,464","210,237,250","54.40","56.00","52.60","55.90","+2.50","2,393",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
