"110年10月 6139 亞翔             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","420,805","11,837,923","28.30","28.50","27.95","28.20","-0.70","336",
"110/10/04","486,942","13,376,709","28.30","28.45","27.15","27.20","-1.00","360",
"110/10/05","295,135","8,036,036","27.00","27.60","26.40","27.55","+0.35","219",
"110/10/06","197,192","5,378,474","27.70","27.70","27.00","27.15","-0.40","182",
"110/10/07","239,229","6,635,646","27.55","27.90","27.50","27.70","+0.55","184",
"110/10/08","160,789","4,479,862","27.70","28.05","27.45","27.75","+0.05","141",
"110/10/12","221,610","6,038,551","27.30","27.65","27.05","27.05","-0.70","183",
"110/10/13","277,020","7,455,357","27.40","27.40","26.65","26.90","-0.15","204",
"110/10/14","481,040","13,335,600","27.60","28.35","27.35","27.55","+0.65","336",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
