"110年10月 6283 淳安             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","648,629","28,855,826","45.75","45.75","43.90","43.95","-1.80","519",
"110/10/04","1,456,615","60,873,825","43.30","44.75","40.60","40.60","-3.35","951",
"110/10/05","1,168,684","47,443,544","39.60","42.45","38.00","41.95","+1.35","704",
"110/10/06","701,931","28,794,180","42.30","42.40","40.20","40.60","-1.35","524",
"110/10/07","887,718","38,079,688","41.15","44.05","41.15","43.15","+2.55","629",
"110/10/08","803,666","35,452,470","43.65","44.80","43.35","44.30","+1.15","591",
"110/10/12","682,565","28,962,994","43.00","43.45","41.70","42.20","-2.10","495",
"110/10/13","625,696","25,842,547","42.15","42.90","40.60","41.50","-0.70","492",
"110/10/14","333,034","13,768,960","41.50","42.00","40.50","41.70","+0.20","306",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
