"110年10月 6558 興能高           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","191,538","6,038,888","32.20","32.20","31.00","31.00","-0.95","170",
"110/10/04","253,925","7,622,196","31.70","31.70","29.50","29.55","-1.45","211",
"110/10/05","148,625","4,301,896","29.50","29.50","27.90","29.30","-0.25","132",
"110/10/06","165,074","4,813,489","29.30","29.90","28.70","28.75","-0.55","114",
"110/10/07","180,560","5,344,130","28.75","29.95","28.75","29.80","+1.05","135",
"110/10/08","90,010","2,702,399","30.00","30.25","29.85","30.00","+0.20","80",
"110/10/12","122,056","3,629,130","29.00","30.30","29.00","29.80","-0.20","102",
"110/10/13","147,150","4,293,252","29.50","29.80","28.85","29.20","-0.60","136",
"110/10/14","86,390","2,535,505","29.10","29.55","29.10","29.55","+0.35","68",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
