"110年10月 6698 旭暉應材         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","158,006","5,804,790","37.40","37.50","36.00","36.60","-0.90","118",
"110/10/04","85,409","3,034,436","36.10","36.10","35.15","35.20","-1.40","81",
"110/10/05","116,618","4,048,845","34.70","35.70","34.00","35.55","+0.35","95",
"110/10/06","86,067","3,108,572","35.55","36.80","35.55","35.75","+0.20","68",
"110/10/07","163,003","5,803,605","36.05","36.60","35.20","35.30","-0.45","131",
"110/10/08","87,016","3,075,528","35.30","35.70","34.70","35.50","+0.20","83",
"110/10/12","204,003","7,006,604","34.50","34.80","34.00","34.20","-1.30","132",
"110/10/13","103,008","3,478,027","34.25","34.25","33.30","34.10","-0.10","77",
"110/10/14","49,001","1,667,234","34.10","34.40","33.70","34.35","+0.25","33",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
