"110年10月 8201 無敵             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","8,768,423","138,042,431","16.00","16.30","15.20","15.25","-0.45","3,704",
"110/10/04","2,390,567","35,941,949","15.55","15.75","14.20","14.20","-1.05","1,230",
"110/10/05","2,160,760","30,484,687","14.05","14.40","13.65","14.30","+0.10","852",
"110/10/06","1,497,766","21,164,435","14.50","14.55","13.75","13.75","-0.55","661",
"110/10/07","6,307,031","94,199,729","13.95","15.10","13.90","15.10","+1.35","1,519",
"110/10/08","6,017,240","92,879,168","15.90","16.10","14.65","15.05","-0.05","2,735",
"110/10/12","1,867,273","27,673,910","14.80","15.20","14.45","15.20","+0.15","741",
"110/10/13","1,432,086","21,550,186","15.00","15.35","14.75","14.75","-0.45","625",
"110/10/14","2,589,653","39,501,053","14.85","15.65","14.80","14.80","+0.05","1,061",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
