"110年10月 1718 中纖             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","12,419,083","130,374,079","10.70","10.75","10.30","10.40","-0.35","2,979",
"110/10/04","14,881,691","156,878,780","10.60","10.80","10.25","10.30","-0.10","4,560",
"110/10/05","19,454,624","204,753,544","10.40","10.70","10.35","10.70","+0.40","4,533",
"110/10/06","25,845,185","278,321,966","10.75","11.00","10.50","10.55","-0.15","5,942",
"110/10/07","10,648,945","112,638,777","10.65","10.70","10.50","10.60","+0.05","2,628",
"110/10/08","16,035,106","171,826,767","10.60","10.80","10.55","10.75","+0.15","3,396",
"110/10/12","11,656,182","123,285,421","10.65","10.80","10.45","10.45","-0.30","3,808",
"110/10/13","8,464,974","89,083,496","10.60","10.65","10.40","10.45"," 0.00","2,176",
"110/10/14","11,887,195","124,110,734","10.50","10.60","10.30","10.35","-0.10","2,650",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
