"110年10月 1726 永記             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","60,526","4,360,362","72.20","72.20","71.80","71.80","-0.40","74",
"110/10/04","34,118","2,450,014","71.80","72.60","71.60","71.80"," 0.00","33",
"110/10/05","39,012","2,790,759","71.60","72.00","71.10","71.40","-0.40","36",
"110/10/06","42,381","3,027,139","71.50","71.60","71.20","71.40"," 0.00","52",
"110/10/07","27,528","1,988,138","71.20","72.90","71.20","72.50","+1.10","38",
"110/10/08","3,352","242,572","72.40","72.40","72.30","72.30","-0.20","8",
"110/10/12","16,100","1,160,210","72.30","72.30","71.80","72.20","-0.10","12",
"110/10/13","10,140","732,039","72.00","72.60","72.00","72.50","+0.30","15",
"110/10/14","14,026","1,018,682","72.10","73.00","72.10","72.80","+0.30","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
