"110年10月 1730 花仙子           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","78,184","4,965,837","64.00","64.00","63.00","63.10","-0.90","137",
"110/10/04","45,182","2,847,235","63.30","63.40","62.60","62.60","-0.50","103",
"110/10/05","30,817","1,925,456","62.50","62.60","62.20","62.40","-0.20","78",
"110/10/06","33,121","2,071,430","62.50","62.90","62.30","62.30","-0.10","73",
"110/10/07","32,011","2,018,159","63.00","63.30","62.80","63.00","+0.70","34",
"110/10/08","18,102","1,149,411","63.00","64.00","63.00","63.30","+0.30","35",
"110/10/12","25,721","1,629,875","63.30","63.50","63.10","63.40","+0.10","37",
"110/10/13","33,947","2,142,069","63.40","63.40","63.00","63.20","-0.20","50",
"110/10/14","12,870","815,587","63.20","63.50","63.20","63.30","+0.10","24",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
