"110年10月 4739 康普             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","3,579,127","373,852,933","108.00","108.50","101.00","102.00","-7.50","2,866",
"110/10/04","3,233,717","332,309,432","105.00","105.00","100.00","101.00","-1.00","2,618",
"110/10/05","4,727,514","487,596,856","101.00","106.50","98.20","106.00","+5.00","3,354",
"110/10/06","5,733,299","621,045,292","107.50","110.50","106.00","107.00","+1.00","4,548",
"110/10/07","9,369,204","1,064,926,330","111.00","117.00","110.50","116.50","+9.50","7,254",
"110/10/08","22,928,464","2,752,568,756","118.50","123.50","117.00","120.00","+3.50","16,699",
"110/10/12","15,599,705","1,895,253,841","118.00","124.00","118.00","120.00"," 0.00","12,182",
"110/10/13","22,314,626","2,737,755,277","120.50","126.00","119.00","122.00","+2.00","14,794",
"110/10/14","15,417,156","1,837,222,634","123.00","124.50","114.50","118.50","-3.50","13,136",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
