"110年10月 4755 三福化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","237,682","15,712,545","67.40","67.40","65.70","65.80","-1.60","171",
"110/10/04","94,315","6,183,243","66.50","66.50","65.20","65.20","-0.60","196",
"110/10/05","391,189","25,894,259","65.20","67.90","64.80","65.80","+0.60","185",
"110/10/06","123,971","8,247,135","66.50","67.10","66.00","66.70","+0.90","157",
"110/10/07","559,026","38,052,341","66.70","69.40","66.70","68.00","+1.30","387",
"110/10/08","417,324","28,560,420","67.80","69.50","67.40","67.70","-0.30","195",
"110/10/12","117,878","7,932,654","67.70","67.80","66.70","67.70"," 0.00","210",
"110/10/13","127,138","8,568,749","67.70","68.10","66.70","67.50","-0.20","116",
"110/10/14","227,264","15,493,062","67.90","69.20","67.10","67.60","+0.10","212",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
