"110年10月 2303 聯電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","143,009,127","8,996,341,122","63.40","63.80","62.10","62.60","-1.40","66,241",
"110/10/04","131,588,514","8,093,505,303","63.10","63.30","60.60","60.80","-1.80","57,284",
"110/10/05","190,242,195","11,381,192,173","58.70","61.30","58.00","61.10","+0.30","74,444",
"110/10/06","132,290,871","7,981,282,638","61.50","61.70","59.50","59.90","-1.20","55,150",
"110/10/07","151,564,410","9,383,245,619","60.90","62.60","60.80","62.50","+2.60","54,990",
"110/10/08","115,288,376","7,118,690,623","62.60","62.60","61.00","61.10","-1.40","46,914",
"110/10/12","163,058,961","9,611,190,175","59.50","59.70","58.50","58.50","-2.60","69,923",
"110/10/13","232,296,933","13,263,023,931","58.30","58.90","56.40","56.40","-2.10","91,344",
"110/10/14","118,944,029","6,769,333,173","57.30","57.60","56.50","56.70","+0.30","44,650",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
