"110年10月 2342 茂矽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,233,134","190,120,563","46.60","46.70","43.60","43.60","X0.00","2,624",
"110/10/04","3,225,939","139,531,032","45.00","45.20","41.85","41.85","-1.75","2,093",
"110/10/05","3,923,324","163,161,568","40.50","43.25","39.40","43.10","+1.25","2,478",
"110/10/06","2,086,485","89,418,056","43.00","44.05","41.95","42.15","-0.95","1,517",
"110/10/07","2,606,256","113,092,084","43.15","43.85","42.80","43.25","+1.10","1,919",
"110/10/08","2,314,040","100,882,907","43.70","44.75","42.80","42.90","-0.35","1,692",
"110/10/12","2,065,066","86,011,716","42.30","42.65","41.00","41.20","-1.70","1,561",
"110/10/13","2,299,907","92,799,999","41.80","42.00","39.50","40.10","-1.10","1,584",
"110/10/14","2,059,482","82,052,801","41.00","41.10","39.00","39.45","-0.65","1,378",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
