"110年10月 2369 菱生             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","10,534,548","273,997,448","26.70","26.70","25.50","25.85","-1.15","5,261",
"110/10/04","13,484,091","338,931,543","26.30","26.30","24.50","24.50","-1.35","6,477",
"110/10/05","11,377,248","282,813,576","23.90","25.75","23.55","25.65","+1.15","5,431",
"110/10/06","7,507,693","190,306,939","25.80","25.90","24.85","24.90","-0.75","3,595",
"110/10/07","7,163,065","185,748,048","25.50","26.30","25.40","26.10","+1.20","3,620",
"110/10/08","6,589,988","170,630,838","26.30","26.50","25.45","25.55","-0.55","3,033",
"110/10/12","7,839,347","193,186,045","25.00","25.35","24.20","24.35","-1.20","3,900",
"110/10/13","7,811,525","187,693,210","24.60","24.95","23.55","23.70","-0.65","3,721",
"110/10/14","9,207,432","218,588,331","24.30","24.35","23.20","23.65","-0.05","4,375",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
