"110年10月 2408 南亞科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","13,293,071","859,915,878","66.00","66.20","64.00","64.30","-1.60","7,568",
"110/10/04","12,035,151","780,500,698","64.70","65.60","63.70","64.90","+0.60","6,124",
"110/10/05","14,684,262","938,379,265","63.90","64.70","63.20","64.60","-0.30","7,395",
"110/10/06","24,214,032","1,515,583,381","64.80","64.80","61.40","61.40","-3.20","12,228",
"110/10/07","13,115,107","811,922,792","61.70","62.40","61.40","61.60","+0.20","6,856",
"110/10/08","9,746,715","606,277,706","61.90","63.10","61.60","61.60"," 0.00","5,004",
"110/10/12","12,562,804","764,011,391","61.40","61.60","59.90","61.00","-0.60","6,476",
"110/10/13","16,102,347","967,000,520","61.60","61.90","59.40","59.40","-1.60","7,390",
"110/10/14","18,467,796","1,142,532,407","60.50","62.40","60.20","62.30","+2.90","9,559",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
