"110年10月 2436 偉詮電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","49,035,423","4,144,182,970","85.00","87.30","80.10","83.70","-2.20","28,731",
"110/10/04","30,565,793","2,488,758,891","84.80","85.40","77.90","77.90","-5.80","18,013",
"110/10/05","27,737,801","2,183,896,715","75.20","81.50","74.20","81.40","+3.50","16,208",
"110/10/06","21,008,859","1,678,435,213","81.00","82.00","77.30","77.70","-3.70","12,276",
"110/10/07","16,175,554","1,293,757,353","79.80","80.90","78.50","80.90","+3.20","10,046",
"110/10/08","18,333,301","1,483,883,759","80.20","83.00","79.00","80.30","-0.60","10,695",
"110/10/12","8,613,968","677,266,992","79.60","80.30","77.50","77.90","-2.40","5,382",
"110/10/13","14,986,673","1,118,557,886","77.90","78.60","72.50","72.50","-5.40","9,297",
"110/10/14","11,821,627","856,286,747","73.70","74.40","71.00","72.20","-0.30","7,430",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
