"110年10月 2449 京元電子         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","11,193,769","446,661,470","40.45","40.65","39.50","39.65","-1.30","5,612",
"110/10/04","10,640,397","423,329,988","40.10","40.45","39.30","39.35","-0.30","4,654",
"110/10/05","9,648,277","370,650,927","37.70","39.30","37.55","39.25","-0.10","5,461",
"110/10/06","8,820,344","349,135,575","39.45","40.05","38.85","39.40","+0.15","4,575",
"110/10/07","7,658,178","307,100,754","39.80","40.45","39.60","40.10","+0.70","3,869",
"110/10/08","12,500,639","491,151,376","40.05","40.10","38.70","38.70","-1.40","6,422",
"110/10/12","10,558,687","401,759,524","38.00","38.65","37.60","37.80","-0.90","5,203",
"110/10/13","11,159,301","414,690,824","37.90","38.15","36.75","36.80","-1.00","5,798",
"110/10/14","7,959,039","293,157,094","37.05","37.40","36.40","37.00","+0.20","4,621",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
