"110年10月 3014 聯陽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,327,095","229,630,423","98.10","101.00","97.50","97.90","-1.60","1,909",
"110/10/04","2,236,876","214,382,779","99.00","99.30","94.20","94.20","-3.70","1,902",
"110/10/05","2,985,523","287,137,978","93.00","99.00","92.20","98.60","+4.40","2,473",
"110/10/06","3,294,158","332,089,676","99.30","103.00","99.30","100.00","+1.40","3,001",
"110/10/07","2,601,047","268,516,676","101.00","105.00","101.00","104.50","+4.50","2,166",
"110/10/08","2,053,237","213,014,248","105.50","106.00","102.00","102.50","-2.00","1,649",
"110/10/12","1,919,953","193,595,849","102.50","103.00","99.40","99.50","-3.00","1,328",
"110/10/13","1,462,436","143,028,696","100.50","100.50","96.00","96.10","-3.40","1,386",
"110/10/14","972,040","93,768,007","98.00","98.00","95.00","96.60","+0.50","876",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
