"110年10月 3094 聯傑             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,397,266","42,580,992","31.80","31.80","29.80","29.90","-1.75","789",
"110/10/04","627,635","18,457,865","30.30","30.50","28.80","28.80","-1.10","495",
"110/10/05","554,893","16,051,105","27.85","29.80","27.65","29.55","+0.75","414",
"110/10/06","423,703","12,354,505","30.00","30.00","28.55","28.55","-1.00","336",
"110/10/07","608,697","18,247,724","29.00","30.55","29.00","30.20","+1.65","452",
"110/10/08","410,931","12,429,243","30.20","30.95","29.85","29.85","-0.35","345",
"110/10/12","365,443","10,709,009","29.60","29.85","29.05","29.20","-0.65","275",
"110/10/13","488,276","14,039,773","29.45","29.60","28.25","28.50","-0.70","327",
"110/10/14","381,016","10,995,653","29.00","29.30","28.45","29.05","+0.55","318",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
