"110年10月 3530 晶相光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,728,793","239,894,833","143.00","143.50","136.00","136.50","-9.00","1,994",
"110/10/04","2,094,486","285,231,808","138.50","139.50","131.50","131.50","-5.00","1,760",
"110/10/05","3,236,491","424,233,128","122.50","137.50","122.00","136.00","+4.50","2,679",
"110/10/06","1,537,142","205,956,168","135.00","138.00","131.00","131.50","-4.50","1,512",
"110/10/07","1,531,190","210,905,204","135.00","140.00","134.00","138.50","+7.00","1,333",
"110/10/08","989,610","136,470,916","139.00","141.50","136.00","136.50","-2.00","1,207",
"110/10/12","858,635","114,588,031","136.50","137.50","131.00","132.00","-4.50","965",
"110/10/13","1,133,195","146,739,204","133.00","134.00","126.50","129.50","-2.50","1,946",
"110/10/14","818,152","108,456,745","132.50","134.50","128.50","133.50","+4.00","738",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
