"110年10月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,094,478","323,294,133","159.50","160.00","149.50","151.00","-10.00","1,259",
"110/10/04","2,869,292","416,514,861","152.50","153.00","141.50","145.50","-5.50","2,236",
"110/10/05","2,739,722","401,895,263","143.50","151.00","138.50","150.00","+4.50","1,950",
"110/10/06","1,253,865","180,809,150","149.50","151.00","140.50","144.00","-6.00","1,061",
"110/10/07","1,477,531","224,842,403","148.00","155.00","146.00","154.00","+10.00","1,184",
"110/10/08","966,104","149,517,702","153.50","156.50","152.00","155.50","+1.50","855",
"110/10/12","319,109","48,529,118","153.00","154.00","150.00","151.50","-4.00","496",
"110/10/13","847,284","125,845,467","153.50","153.50","145.00","148.00","-3.50","801",
"110/10/14","389,040","57,487,877","152.00","152.00","145.00","146.50","-1.50","391",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
