"110年10月 4919 新唐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","25,395,668","3,185,962,495","132.00","132.50","121.50","124.00","-10.00","15,271",
"110/10/04","26,296,792","3,277,689,502","127.00","129.00","120.50","121.50","-2.50","15,786",
"110/10/05","32,411,912","3,989,736,893","120.00","128.50","115.00","126.50","+5.00","18,860",
"110/10/06","31,961,231","4,081,909,311","128.00","130.50","123.00","130.50","+4.00","19,074",
"110/10/07","31,495,027","4,157,794,279","129.50","134.50","129.00","133.50","+3.00","19,665",
"110/10/08","41,948,611","5,681,731,843","136.00","140.00","130.00","131.00","-2.50","27,580",
"110/10/12","14,500,706","1,891,936,306","131.00","132.50","128.00","128.50","-2.50","8,868",
"110/10/13","23,243,538","2,882,856,336","130.50","131.50","119.00","120.50","-8.00","14,084",
"110/10/14","22,043,550","2,632,785,727","123.50","124.50","116.00","118.00","-2.50","14,953",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
