"110年10月 4961 天鈺             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","9,243,519","1,780,780,527","192.50","199.00","186.00","189.50","-6.00","7,734",
"110/10/04","8,580,611","1,574,910,819","192.00","194.00","178.00","178.00","-11.50","8,303",
"110/10/05","16,744,582","3,107,753,526","180.00","195.50","177.00","195.50","+17.50","11,939",
"110/10/06","18,743,112","3,596,865,292","199.00","199.00","188.00","189.00","-6.50","18,485",
"110/10/07","10,616,135","2,053,853,274","191.00","197.00","190.50","191.50","+2.50","7,352",
"110/10/08","10,451,031","2,015,208,725","194.00","198.50","187.00","188.50","-3.00","7,596",
"110/10/12","5,802,836","1,077,668,919","187.00","191.00","181.50","181.50","-7.00","5,600",
"110/10/13","8,482,246","1,524,122,322","185.00","186.00","175.50","177.00","-4.50","7,286",
"110/10/14","8,918,817","1,630,688,487","181.50","187.00","177.50","184.00","+7.00","6,893",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
