"110年10月 6243 迅杰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","784,186","13,435,538","17.60","17.60","16.80","16.80","-0.95","424",
"110/10/04","562,581","9,365,459","17.10","17.30","16.20","16.25","-0.55","303",
"110/10/05","386,962","6,404,428","16.00","17.10","15.70","16.80","+0.55","263",
"110/10/06","335,560","5,658,302","16.80","17.15","16.60","16.60","-0.20","205",
"110/10/07","658,326","11,634,357","16.85","18.20","16.80","17.70","+1.10","387",
"110/10/08","684,471","12,297,723","17.80","18.40","17.75","17.85","+0.15","282",
"110/10/12","353,308","6,146,116","17.45","17.65","17.25","17.35","-0.50","183",
"110/10/13","428,046","7,404,491","17.55","17.90","16.85","17.50","+0.15","222",
"110/10/14","390,318","6,669,015","17.75","17.75","16.80","17.05","-0.45","534",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
