"110年10月 6533 晶心科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,120,051","851,303,304","392.00","410.00","388.50","407.50","+9.50","2,150",
"110/10/04","2,541,743","996,445,146","410.00","412.50","375.50","375.50","-32.00","2,700",
"110/10/05","2,260,112","836,379,083","360.50","384.50","354.50","370.50","-5.00","2,161",
"110/10/06","1,985,390","723,197,261","374.00","380.50","351.50","351.50","-19.00","2,071",
"110/10/07","1,896,255","716,159,465","357.00","386.50","357.00","386.50","+35.00","1,754",
"110/10/08","2,901,251","1,212,989,435","404.00","425.00","403.00","425.00","+38.50","2,616",
"110/10/12","3,752,935","1,572,244,422","410.50","434.50","402.00","428.50","+3.50","3,169",
"110/10/13","2,849,126","1,180,282,080","433.00","438.00","404.00","407.00","-21.50","2,676",
"110/10/14","3,790,836","1,643,743,639","406.00","447.50","406.00","447.50","+40.50","3,567",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
