"110年10月 6756 威鋒電子         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,337,662","1,773,819,486","404.00","419.00","398.50","411.00"," 0.00","4,222",
"110/10/04","3,436,784","1,419,275,426","420.00","425.00","401.00","401.00","-10.00","3,320",
"110/10/05","4,438,811","1,778,472,056","399.00","418.00","385.50","413.00","+12.00","4,161",
"110/10/06","3,274,721","1,366,740,080","418.00","430.00","402.50","408.50","-4.50","3,156",
"110/10/07","3,099,120","1,320,223,291","416.00","440.00","415.00","427.00","+18.50","3,320",
"110/10/08","2,859,000","1,239,348,729","432.00","445.00","424.00","427.00"," 0.00","3,107",
"110/10/12","1,438,889","599,007,816","420.00","429.00","408.00","411.00","-16.00","1,496",
"110/10/13","1,623,969","656,039,453","415.50","417.00","396.00","398.50","-12.50","1,762",
"110/10/14","1,358,748","546,086,578","409.00","412.00","398.00","398.00","-0.50","1,376",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
