"110年10月 8261 富鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,592,105","214,152,354","84.90","85.30","81.00","81.00","-5.30","2,425",
"110/10/04","5,043,210","409,376,603","82.60","85.10","78.00","78.00","-3.00","3,741",
"110/10/05","3,857,085","307,230,402","76.30","82.70","75.20","82.30","+4.30","3,236",
"110/10/06","2,584,336","211,989,165","81.50","84.00","80.00","80.10","-2.20","2,748",
"110/10/07","3,782,556","319,478,335","81.60","86.50","81.50","86.00","+5.90","2,985",
"110/10/08","4,142,319","355,994,013","86.20","87.60","84.20","84.90","-1.10","3,416",
"110/10/12","2,981,545","255,338,322","84.50","86.50","83.60","86.40","+1.50","2,239",
"110/10/13","5,350,233","440,673,389","87.00","87.10","80.10","80.20","-6.20","4,200",
"110/10/14","3,045,712","251,119,513","81.80","83.40","80.60","83.00","+2.80","2,402",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
