"110年10月 1303 南亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","12,939,513","1,145,396,419","90.30","90.90","87.50","88.20","-3.30","7,650",
"110/10/04","9,947,066","868,679,866","88.70","88.80","86.90","87.20","-1.00","4,154",
"110/10/05","11,598,139","1,020,896,688","87.20","88.90","87.00","88.90","+1.70","4,941",
"110/10/06","15,651,871","1,406,341,737","89.70","90.90","89.10","90.00","+1.10","8,243",
"110/10/07","11,980,678","1,080,786,152","90.60","90.80","89.50","90.70","+0.70","7,343",
"110/10/08","7,710,527","704,193,275","91.40","91.70","90.90","91.30","+0.60","4,568",
"110/10/12","15,709,240","1,391,240,228","90.00","90.60","87.80","88.60","-2.70","8,355",
"110/10/13","8,338,918","744,326,480","89.60","90.30","88.50","88.90","+0.30","4,034",
"110/10/14","4,354,699","386,092,069","89.90","90.00","88.00","88.20","-0.70","2,666",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
