"110年10月 1313 聯成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","20,662,060","517,600,608","25.45","25.75","24.20","24.45","-1.00","8,301",
"110/10/04","12,758,522","303,250,797","24.60","24.85","23.10","23.10","-1.35","5,042",
"110/10/05","7,819,528","182,898,754","23.10","23.80","22.90","23.75","+0.65","3,405",
"110/10/06","8,086,022","193,629,131","23.80","24.30","23.60","23.70","-0.05","3,234",
"110/10/07","8,996,384","217,182,857","23.70","24.40","23.70","24.15","+0.45","3,458",
"110/10/08","6,488,265","155,791,976","24.20","24.50","23.70","23.85","-0.30","2,688",
"110/10/12","11,028,075","267,138,759","24.30","24.55","23.80","24.45","+0.60","3,761",
"110/10/13","9,895,601","239,581,425","24.45","24.70","23.85","23.95","-0.50","3,558",
"110/10/14","9,296,004","220,496,127","24.45","24.45","23.25","23.55","-0.40","3,817",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
