"110年10月 2515 中工             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,632,823","39,757,847","8.69","8.69","8.52","8.53","-0.16","1,789",
"110/10/04","4,489,944","37,888,221","8.55","8.58","8.35","8.37","-0.16","1,385",
"110/10/05","3,225,300","26,847,624","8.37","8.40","8.26","8.40","+0.03","1,029",
"110/10/06","4,644,355","38,581,009","8.45","8.45","8.25","8.25","-0.15","1,581",
"110/10/07","2,637,246","22,153,717","8.33","8.45","8.32","8.45","+0.20","1,022",
"110/10/08","3,027,538","25,768,313","8.47","8.59","8.41","8.48","+0.03","836",
"110/10/12","6,943,964","59,703,861","8.60","8.68","8.53","8.57","+0.09","2,002",
"110/10/13","3,384,590","29,095,878","8.66","8.67","8.51","8.55","-0.02","1,119",
"110/10/14","2,201,154","18,892,105","8.63","8.65","8.53","8.58","+0.03","755",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
