"110年10月 2528 皇普             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","71,729","1,566,138","21.80","22.25","21.60","21.60","-0.20","65",
"110/10/04","10,000","216,300","21.65","21.65","21.60","21.65","+0.05","10",
"110/10/05","63,604","1,366,146","21.50","21.55","21.35","21.50","-0.15","27",
"110/10/06","55,003","1,168,863","21.50","22.00","21.10","21.25","-0.25","32",
"110/10/07","12,597","269,717","21.35","21.55","21.35","21.45","+0.20","11",
"110/10/08","21,218","455,483","21.45","21.50","21.45","21.45"," 0.00","15",
"110/10/12","1,148","24,622","21.45","21.45","21.45","21.45"," 0.00","5",
"110/10/13","32,100","689,519","21.45","21.55","21.45","21.50","+0.05","20",
"110/10/14","74,243","1,574,532","21.50","21.50","21.10","21.20","-0.30","47",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
