"110年10月 2538 基泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,684,607","34,546,709","12.80","13.10","12.65","12.95"," 0.00","996",
"110/10/04","2,069,404","26,523,713","13.05","13.05","12.65","12.70","-0.25","651",
"110/10/05","3,012,841","37,490,735","12.70","12.70","12.00","12.55","-0.15","1,038",
"110/10/06","2,024,220","24,844,395","12.60","12.60","12.10","12.10","-0.45","817",
"110/10/07","2,625,587","32,179,823","12.25","12.40","12.10","12.20","+0.10","713",
"110/10/08","3,147,725","39,126,401","12.30","12.75","12.10","12.45","+0.25","855",
"110/10/12","2,027,029","25,151,978","12.45","12.70","12.20","12.25","-0.20","567",
"110/10/13","1,547,178","19,031,153","12.50","12.50","12.20","12.40","+0.15","440",
"110/10/14","7,444,635","93,307,251","12.50","12.90","12.15","12.15","-0.25","2,006",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
