"110年10月 2923 鼎固-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","64,210","1,557,131","24.40","24.40","24.00","24.15","-1.15","63",
"110/10/04","7,987","192,484","24.40","24.40","23.85","23.85","-0.30","20",
"110/10/05","27,106","651,624","23.25","24.20","23.20","24.05","+0.20","15",
"110/10/06","3,000","72,150","24.05","24.05","24.05","24.05"," 0.00","3",
"110/10/07","255,001","6,645,726","24.75","26.45","24.70","26.45","+2.40","161",
"110/10/08","12,021","311,617","26.35","26.35","25.45","25.45","-1.00","14",
"110/10/12","86,050","2,058,875","24.70","24.70","23.25","24.40","-1.05","47",
"110/10/13","37,000","934,850","25.10","25.80","25.00","25.00","+0.60","31",
"110/10/14","90,157","2,369,757","25.95","26.60","25.90","26.55","+1.55","53",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
