"110年10月 5519 隆大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,446,956","31,124,596","21.75","21.75","21.30","21.40","-0.35","635",
"110/10/04","890,685","18,970,653","21.65","21.65","21.00","21.05","-0.35","445",
"110/10/05","810,904","17,060,080","21.25","21.30","20.75","21.25","+0.20","353",
"110/10/06","394,950","8,357,057","21.15","21.35","21.05","21.10","-0.15","185",
"110/10/07","456,184","9,686,039","21.15","21.30","21.10","21.20","+0.10","205",
"110/10/08","344,446","7,332,142","21.25","21.30","21.25","21.25","+0.05","148",
"110/10/12","459,944","9,737,045","21.25","21.40","21.05","21.10","-0.15","189",
"110/10/13","1,014,835","21,099,680","21.15","21.30","20.60","20.65","-0.45","494",
"110/10/14","593,747","12,174,517","20.80","20.80","20.40","20.55","-0.10","295",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
