"110年10月 5522 遠雄             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,325,215","77,654,742","58.00","59.40","57.10","59.10","+1.00","690",
"110/10/04","1,181,533","70,398,343","59.70","60.20","58.60","59.50","+0.40","762",
"110/10/05","776,273","46,068,545","59.50","60.00","58.80","59.10","-0.40","536",
"110/10/06","701,034","41,785,182","59.10","60.00","59.00","59.70","+0.60","427",
"110/10/07","1,189,894","72,485,181","60.10","61.40","60.10","61.20","+1.50","640",
"110/10/08","764,868","47,240,124","61.60","62.10","61.20","61.90","+0.70","476",
"110/10/12","1,273,285","79,685,499","61.90","63.10","61.60","62.80","+0.90","760",
"110/10/13","1,291,232","80,394,485","63.30","63.30","61.60","62.80"," 0.00","696",
"110/10/14","861,158","52,914,058","61.80","62.30","60.70","60.80","X0.00","566",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
