"110年10月 5533 皇鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","425,684","8,027,531","19.35","19.35","18.60","18.80","-0.45","211",
"110/10/04","259,423","4,864,944","18.90","18.95","18.65","18.80"," 0.00","128",
"110/10/05","179,288","3,374,460","18.80","19.00","18.65","18.90","+0.10","120",
"110/10/06","303,678","5,769,531","19.10","19.10","18.90","19.00","+0.10","144",
"110/10/07","375,538","7,152,986","19.10","19.25","18.95","19.00"," 0.00","191",
"110/10/08","171,658","3,248,634","19.15","19.15","18.75","18.75","-0.25","87",
"110/10/12","201,030","3,745,236","18.70","18.70","18.40","18.60","-0.15","70",
"110/10/13","143,161","2,646,963","18.75","18.75","18.35","18.45","-0.15","83",
"110/10/14","52,001","960,519","18.45","18.50","18.45","18.50","+0.05","27",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
