"110年10月 5546 永固-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","79,116","5,218,656","67.20","67.20","65.50","65.90","-1.30","75",
"110/10/04","28,000","1,824,000","66.00","66.00","64.70","65.10","-0.80","28",
"110/10/05","65,000","4,254,100","64.20","66.50","64.20","66.30","+1.20","51",
"110/10/06","11,442","761,995","66.30","68.00","66.00","66.50","+0.20","14",
"110/10/07","52,733","3,472,117","66.50","66.90","65.20","66.10","-0.40","47",
"110/10/08","20,000","1,298,400","65.50","65.80","64.60","64.60","-1.50","18",
"110/10/12","55,023","3,510,928","64.40","64.40","63.00","64.40","-0.20","44",
"110/10/13","16,024","1,029,840","64.50","64.60","63.70","64.50","+0.10","16",
"110/10/14","13,000","840,100","64.60","65.90","64.00","64.70","+0.20","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
