"110年10月 2114 鑫永銓           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","206,415","24,483,783","120.50","121.00","117.50","118.00","-3.50","327",
"110/10/04","211,254","24,631,551","119.00","119.50","115.00","115.00","-3.00","321",
"110/10/05","173,266","19,783,791","115.00","116.50","112.50","116.00","+1.00","274",
"110/10/06","110,462","12,699,926","116.00","118.50","113.50","115.00","-1.00","306",
"110/10/07","64,632","7,580,610","115.00","118.00","115.00","118.00","+3.00","85",
"110/10/08","68,618","8,142,835","119.00","119.50","118.00","118.50","+0.50","81",
"110/10/12","148,882","17,263,081","118.00","118.00","115.00","116.00","-2.50","159",
"110/10/13","77,062","8,887,940","116.50","117.00","114.50","115.00","-1.00","104",
"110/10/14","53,150","6,127,779","115.50","116.00","114.50","116.00","+1.00","113",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
